Ammo Maker,name,UID,Caliber,Weight,Length,Tip Length,Atmosphere Std,SD,G1 BC,G7 BC,G8 BC,RA4 BC,Doppler/0,Doppler/1,Doppler/2,Doppler/3,Doppler/4,Doppler/5,Doppler/6,Doppler/7,Doppler/8,Doppler/9,Doppler/10,Doppler/11,Doppler/12,Doppler/13,Doppler/14,Doppler/15,Doppler/16
Berger,17 Cal 25 gr FB Varmint,0,0.172,25,0.565,,ICAO,,0.152,,,,,,,,,,,,,,,,,,,,
Berger,20 Cal 35 gr FB Varmint,0,0.204,35,0.596,,ICAO,,0.179,,,,,,,,,,,,,,,,,,,,
Berger,20 Cal 40 gr BT Varmint,0,0.204,40,0.68,,ICAO,,0.227,0.116,,,,,,,,,,,,,,,,,,,
Berger,20 Cal 55 gr Long Range BT Varmint,0,0.204,55,0.908,,ICAO,,0.354,0.182,,,,,,,,,,,,,,,,,,,
Berger,22 Cal 40 gr FB Varmint,0,0.224,40,0.609,,ICAO,,0.151,,,,,,,,,,,,,,,,,,,,
Berger,22 Cal 52 gr FB Varmint,0,0.224,52,0.717,,ICAO,,0.201,,,,,,,,,,,,,,,,,,,,
Berger,22 Cal 55 gr FB Varmint,0,0.224,55,0.753,,ICAO,,0.209,,,,,,,,,,,,,,,,,,,,
Berger,22 Cal 60 gr FB Varmint,0,0.224,60,0.81,,ICAO,,0.271,,,,,,,,,,,,,,,,,,,,
Berger,22 Cal 64 gr FB Varmint,0,0.224,64,0.819,,ICAO,,0.287,,,,,,,,,,,,,,,,,,,,
Berger,6 MM 69 gr High BC FB Varmint,0,0.243,69,0.919,,ICAO,,0.289,,,,,,,,,,,,,,,,,,,,
Berger,6 MM 80 gr FB Varmint,0,0.243,80,0.913,,ICAO,,0.3,,,,,,,,,,,,,,,,,,,,
Berger,6 MM 88 gr High BC FB Varmint,0,0.243,88,1.059,,ICAO,,0.38,,,,,,,,,,,,,,,,,,,,
Berger,6 MM 87 gr VLD Hunting,0,0.243,87,1.042,,ICAO,,0.427,0.219,,,,,,,,,,,,,,,,,,,
Berger,6 MM 95 gr VLD Hunting,0,0.243,95,1.13,,ICAO,,0.467,0.239,,,,,,,,,,,,,,,,,,,
Berger,6 MM 95 gr Classic Hunter,0,0.243,95,1.069,,ICAO,,0.434,0.223,,,,,,,,,,,,,,,,,,,
Berger,6 MM 105 gr VLD Hunting,0,0.243,105,1.223,,ICAO,,0.545,0.278,,,,,,,,,,,,,,,,,,,
Berger,6 MM 115 gr VLD Hunting,0,0.243,115,1.348,,ICAO,,0.568,0.291,,,,,,,,,,,,,,,,,,,
Berger,25 Cal 115 gr VLD Hunting,0,0.257,115,1.188,,ICAO,,0.483,0.247,,,,,,,,,,,,,,,,,,,
Berger,6.5 MM 130 gr VLD Hunting,0,0.264,130,1.324,,ICAO,,0.562,0.288,,,,,,,,,,,,,,,,,,,
Berger,6.5 MM 135 gr Classic Hunter,0,0.264,135,1.325,,ICAO,,0.584,0.303,,,,,,,,,,,,,,,,,,,
Berger,6.5 MM 140 gr VLD Hunting,0,0.264,140,1.39,,ICAO,,0.6,0.307,,,,,,,,,,,,,,,,,,,
Berger,6.5 MM 140 gr Elite Hunter,0,0.264,140,1.403,,ICAO,,0.606,0.31,,,,,,,,,,,,,,,,,,,
Berger,270 Cal 130 gr VLD Hunting,0,0.277,130,1.713,,ICAO,,0.462,0.236,,,,,,,,,,,,,,,,,,,
Berger,270 Cal 130 gr Classic Hunter,0,0.277,130,1.21,,ICAO,,0.49,0.251,,,,,,,,,,,,,,,,,,,
Berger,270 Cal 140 gr VLD Hunting,0,0.277,140,1.253,,ICAO,,0.504,0.258,,,,,,,,,,,,,,,,,,,
Berger,270 Cal 140 gr Classic Hunter,0,0.277,140,1.274,,ICAO,,0.528,0.271,,,,,,,,,,,,,,,,,,,
